Structure,,,,,,,,Case 2,,,,,,,Difference,,,,,
element,type,node_i,node_j,length,axial_force,,,element,type,node_i,node_j,length,axial_force,,element,type,node_i,node_j,length,axial_force
1,3d_frame,1,2,26,-389.1743096,,,1,3d_frame,1,2,26,-343.6956742,,1,3d_frame,1,2,26,-45.47863538
2,3d_frame,2,3,26,-211.4181605,,,2,3d_frame,2,3,26,-165.6150214,,2,3d_frame,2,3,26,-45.80313908
3,3d_frame,3,4,26,-87.95580452,,,3,3d_frame,3,4,26,-73.79651224,,3,3d_frame,3,4,26,-14.15929228
4,3d_frame,4,5,26,1.211480516,,,4,3d_frame,4,5,26,29.88284228,,4,3d_frame,4,5,26,-28.67136177
5,3d_frame,5,6,26,48.71351948,,,5,3d_frame,5,6,26,0,,5,3d_frame,5,6,26,48.71351948
6,3d_frame,6,7,26,87.23331499,,,6,3d_frame,6,7,26,107.0885888,,6,3d_frame,6,7,26,-19.85527384
7,3d_frame,7,8,26,127.7304441,,,7,3d_frame,7,8,26,150.54953,,7,3d_frame,7,8,26,-22.81908591
8,3d_frame,8,9,26,122.396167,,,8,3d_frame,8,9,26,167.7130975,,8,3d_frame,8,9,26,-45.31693048
9,3d_frame,9,10,26,123.7661025,,,9,3d_frame,9,10,26,157.3236663,,9,3d_frame,9,10,26,-33.55756376
10,3d_frame,10,11,26,46.44015428,,,10,3d_frame,10,11,26,82.27151585,,10,3d_frame,10,11,26,-35.83136157
12,3d_frame,13,14,26,-23.10916576,,,12,3d_frame,13,14,26,9.1220165,,12,3d_frame,13,14,26,-32.23118226
13,3d_frame,14,15,26,10.2324297,,,13,3d_frame,14,15,26,19.40779535,,13,3d_frame,14,15,26,-9.175365651
14,3d_frame,15,16,26,61.50826832,,,14,3d_frame,15,16,26,103.5849497,,14,3d_frame,15,16,26,-42.07668137
15,3d_frame,16,17,26,88.43301641,,,15,3d_frame,16,17,26,76.77034502,,15,3d_frame,16,17,26,11.66267139
16,3d_frame,17,18,26,98.39305718,,,16,3d_frame,17,18,26,125.5764269,,16,3d_frame,17,18,26,-27.18336975
17,3d_frame,18,19,26,95.92261616,,,17,3d_frame,18,19,26,89.16219124,,17,3d_frame,18,19,26,6.760424919
18,3d_frame,19,20,26,44.42849305,,,18,3d_frame,19,20,26,22.1648997,,18,3d_frame,19,20,26,22.26359335
19,3d_frame,20,21,26,23.12786191,,,19,3d_frame,20,21,26,-23.89259615,,19,3d_frame,20,21,26,47.02045806
21,3d_frame,23,24,26,277.4490838,,,21,3d_frame,23,24,26,251.7893118,,21,3d_frame,23,24,26,25.65977197
22,3d_frame,24,25,26,98.17479533,,,22,3d_frame,24,25,26,72.54949045,,22,3d_frame,24,25,26,25.62530488
23,3d_frame,25,26,26,-177.2614232,,,23,3d_frame,25,26,26,-192.7029225,,23,3d_frame,25,26,26,15.44149929
24,3d_frame,26,27,26,-267.1698811,,,24,3d_frame,26,27,26,-294.8002479,,24,3d_frame,26,27,26,27.63036682
25,3d_frame,27,28,26,-365.2777819,,,25,3d_frame,27,28,26,-419.3523936,,25,3d_frame,27,28,26,54.07461168
26,3d_frame,28,29,26,-403.7975774,,,26,3d_frame,28,29,26,-422.4153111,,26,3d_frame,28,29,26,18.61773374
27,3d_frame,29,30,26,-393.6888447,,,27,3d_frame,29,30,26,-416.8430681,,27,3d_frame,29,30,26,23.15422342
28,3d_frame,30,31,26,-387.6133948,,,28,3d_frame,30,31,26,-433.2352982,,28,3d_frame,30,31,26,45.62190343
29,3d_frame,31,32,26,-237.0094677,,,29,3d_frame,31,32,26,-270.6532144,,29,3d_frame,31,32,26,33.64374667
30,3d_frame,32,33,26,-158.1653801,,,30,3d_frame,32,33,26,-194.0791261,,30,3d_frame,32,33,26,35.91374597
32,3d_frame,35,36,26,220.3678948,,,32,3d_frame,35,36,26,150.5386405,,32,3d_frame,35,36,26,69.82925429
33,3d_frame,36,37,26,188.285938,,,33,3d_frame,36,37,26,138.5170634,,33,3d_frame,36,37,26,49.76887464
34,3d_frame,37,38,26,235.9916583,,,34,3d_frame,37,38,26,196.6736464,,34,3d_frame,37,38,26,39.31801186
35,3d_frame,38,39,26,209.4980954,,,35,3d_frame,38,39,26,156.7389264,,35,3d_frame,38,39,26,52.75916897
36,3d_frame,39,40,26,199.5380546,,,36,3d_frame,39,40,26,180.6913437,,36,3d_frame,39,40,26,18.8467109
37,3d_frame,40,41,26,201.5773104,,,37,3d_frame,40,41,26,208.5836886,,37,3d_frame,40,41,26,-7.00637824
38,3d_frame,41,42,26,154.0898746,,,38,3d_frame,41,42,26,176.5506986,,38,3d_frame,41,42,26,-22.46082397
39,3d_frame,42,43,26,174.1308672,,,39,3d_frame,42,43,26,221.3452061,,39,3d_frame,42,43,26,-47.21433888
41,3d_frame,1,23,15.5,0,,,41,3d_frame,1,23,15.5,0,,41,3d_frame,1,23,15.5,0
42,3d_frame,2,24,15.5,8.215092435,,,42,3d_frame,2,24,15.5,20.89612327,,42,3d_frame,2,24,15.5,-12.68103084
43,3d_frame,3,25,15.5,13.73528025,,,43,3d_frame,3,25,15.5,19.99614767,,43,3d_frame,3,25,15.5,-6.260867424
44,3d_frame,4,26,15.5,19.35218903,,,44,3d_frame,4,26,15.5,19.75966911,,44,3d_frame,4,26,15.5,-0.407480083
45,3d_frame,5,27,15.5,21.14100741,,,45,3d_frame,5,27,15.5,-8.68073233,,45,3d_frame,5,27,15.5,29.82173974
46,3d_frame,6,28,15.5,23.05252646,,,46,3d_frame,6,28,15.5,-6.693164534,,46,3d_frame,6,28,15.5,29.74569099
47,3d_frame,7,29,15.5,21.14100741,,,47,3d_frame,7,29,15.5,21.5996234,,47,3d_frame,7,29,15.5,-0.458615987
48,3d_frame,8,30,15.5,19.35218903,,,48,3d_frame,8,30,15.5,19.39159254,,48,3d_frame,8,30,15.5,-0.039403509
49,3d_frame,9,31,15.5,13.73528025,,,49,3d_frame,9,31,15.5,13.74375133,,49,3d_frame,9,31,15.5,-0.008471082
50,3d_frame,10,32,15.5,8.215092435,,,50,3d_frame,10,32,15.5,8.222491249,,50,3d_frame,10,32,15.5,-0.007398814
51,3d_frame,11,33,15.5,0,,,51,3d_frame,11,33,15.5,0,,51,3d_frame,11,33,15.5,0
53,3d_frame,13,35,15.5,-8.694315487,,,53,3d_frame,13,35,15.5,-20.23801516,,53,3d_frame,13,35,15.5,11.54369968
54,3d_frame,14,36,15.5,-17.14133767,,,54,3d_frame,14,36,15.5,-41.00058577,,54,3d_frame,14,36,15.5,23.8592481
55,3d_frame,15,37,15.5,-21.36559189,,,55,3d_frame,15,37,15.5,-33.10750431,,55,3d_frame,15,37,15.5,11.74191242
56,3d_frame,16,38,15.5,-25.74769698,,,56,3d_frame,16,38,15.5,-44.59966812,,56,3d_frame,16,38,15.5,18.85197114
57,3d_frame,17,39,15.5,-25.66675539,,,57,3d_frame,17,39,15.5,-42.71296919,,57,3d_frame,17,39,15.5,17.0462138
58,3d_frame,18,40,15.5,-25.74769698,,,58,3d_frame,18,40,15.5,-23.49633445,,58,3d_frame,18,40,15.5,-2.251362534
59,3d_frame,19,41,15.5,-21.36559189,,,59,3d_frame,19,41,15.5,-21.42375067,,59,3d_frame,19,41,15.5,0.05815878
60,3d_frame,20,42,15.5,-17.14133767,,,60,3d_frame,20,42,15.5,-17.1601794,,60,3d_frame,20,42,15.5,0.018841725
61,3d_frame,21,43,15.5,-8.694315487,,,61,3d_frame,21,43,15.5,-8.702381096,,61,3d_frame,21,43,15.5,0.008065609
64,3d_frame,2,13,20,5.952957416,,,64,3d_frame,2,13,20,-1.043037162,,64,3d_frame,2,13,20,6.995994578
65,3d_frame,3,14,20,-9.00787569,,,65,3d_frame,3,14,20,-5.337873619,,65,3d_frame,3,14,20,-3.670002071
66,3d_frame,4,15,20,-4.88387971,,,66,3d_frame,4,15,20,-1.857580886,,66,3d_frame,4,15,20,-3.026298824
67,3d_frame,5,16,20,-2.078521225,,,67,3d_frame,5,16,20,-0.807404057,,67,3d_frame,5,16,20,-1.271117168
68,3d_frame,6,17,20,-9.766063158,,,68,3d_frame,6,17,20,-11.80460902,,68,3d_frame,6,17,20,2.038545867
69,3d_frame,7,18,20,-0.943062796,,,69,3d_frame,7,18,20,0.534607632,,69,3d_frame,7,18,20,-1.477670428
70,3d_frame,8,19,20,-7.858707152,,,70,3d_frame,8,19,20,-6.998243628,,70,3d_frame,8,19,20,-0.860463524
71,3d_frame,9,20,20,-6.313104982,,,71,3d_frame,9,20,20,-10.05994916,,71,3d_frame,9,20,20,3.746844177
72,3d_frame,10,21,20,1.739179404,,,72,3d_frame,10,21,20,8.558829925,,72,3d_frame,10,21,20,-6.819650521
75,3d_frame,24,35,20,-25.61217922,,,75,3d_frame,24,35,20,-20.01980047,,75,3d_frame,24,35,20,-5.592378749
76,3d_frame,25,36,20,8.67077454,,,76,3d_frame,25,36,20,5.143644142,,76,3d_frame,25,36,20,3.527130398
77,3d_frame,26,37,20,-16.92594632,,,77,3d_frame,26,37,20,-20.00491004,,77,3d_frame,26,37,20,3.078963725
78,3d_frame,27,38,20,1.941270903,,,78,3d_frame,27,38,20,0.401571971,,78,3d_frame,27,38,20,1.539698932
79,3d_frame,28,39,20,-12.15634966,,,79,3d_frame,28,39,20,-9.883552861,,79,3d_frame,28,39,20,-2.272796799
80,3d_frame,29,40,20,0.805812474,,,80,3d_frame,29,40,20,-0.862487349,,80,3d_frame,29,40,20,1.668299823
81,3d_frame,30,41,20,-13.95111888,,,81,3d_frame,30,41,20,-14.77123438,,81,3d_frame,30,41,20,0.820115501
82,3d_frame,31,42,20,5.976003832,,,82,3d_frame,31,42,20,9.71289933,,82,3d_frame,31,42,20,-3.736895498
83,3d_frame,32,43,20,-21.39840121,,,83,3d_frame,32,43,20,-28.18998821,,83,3d_frame,32,43,20,6.791586997
85,3d_truss,1,13,32.80243893,-32.4320239,,,85,3d_truss,1,13,32.80243893,16.77696729,,85,3d_truss,1,13,32.80243893,-49.20899119
86,3d_truss,13,3,32.80243893,-1.953834998,,,86,3d_truss,13,3,32.80243893,-28.77479134,,86,3d_truss,13,3,32.80243893,26.82095634
87,3d_truss,3,15,32.80243893,15.23860403,,,87,3d_truss,3,15,32.80243893,31.36589517,,87,3d_truss,3,15,32.80243893,-16.12729114
88,3d_truss,15,5,32.80243893,-15.23837087,,,88,3d_truss,15,5,32.80243893,-41.03331662,,88,3d_truss,15,5,32.80243893,25.79494575
89,3d_truss,5,17,32.80243893,5.878969899,,,89,3d_truss,5,17,32.80243893,26.79984403,,89,3d_truss,5,17,32.80243893,-20.92087413
90,3d_truss,17,7,32.80243893,9.844225999,,,90,3d_truss,17,7,32.80243893,-3.796584243,,90,3d_truss,17,7,32.80243893,13.64081024
91,3d_truss,7,19,32.80243893,-22.90595712,,,91,3d_truss,7,19,32.80243893,-14.58701812,,91,3d_truss,7,19,32.80243893,-8.318938998
92,3d_truss,19,9,32.80243893,32.37963248,,,92,3d_truss,19,9,32.80243893,21.26940996,,92,3d_truss,19,9,32.80243893,11.11022252
93,3d_truss,9,21,32.80243893,-27.50156176,,,93,3d_truss,9,21,32.80243893,-3.539404717,,93,3d_truss,9,21,32.80243893,-23.96215704
94,3d_truss,21,11,32.80243893,5.455206602,,,94,3d_truss,21,11,32.80243893,-42.20108132,,94,3d_truss,21,11,32.80243893,47.65628793
95,3d_truss,23,35,32.80243893,191.2685042,,,95,3d_truss,23,35,32.80243893,144.0187681,,95,3d_truss,23,35,32.80243893,47.24973606
96,3d_truss,35,25,32.80243893,-123.9355488,,,96,3d_truss,35,25,32.80243893,-97.19379775,,96,3d_truss,35,25,32.80243893,-26.74175105
97,3d_truss,25,37,32.80243893,74.37705822,,,97,3d_truss,25,37,32.80243893,58.48387451,,97,3d_truss,25,37,32.80243893,15.89318371
98,3d_truss,37,27,32.80243893,-38.53451449,,,98,3d_truss,37,27,32.80243893,-12.54151122,,98,3d_truss,37,27,32.80243893,-25.99300327
99,3d_truss,27,39,32.80243893,12.10116173,,,99,3d_truss,27,39,32.80243893,-8.930533367,,99,3d_truss,27,39,32.80243893,21.0316951
100,3d_truss,39,29,32.80243893,8.135905631,,,100,3d_truss,39,29,32.80243893,22.04124064,,100,3d_truss,39,29,32.80243893,-13.90533501
101,3d_truss,29,41,32.80243893,-30.86692825,,,101,3d_truss,29,41,32.80243893,-39.33348198,,101,3d_truss,29,41,32.80243893,8.466553733
102,3d_truss,41,31,32.80243893,57.23602976,,,102,3d_truss,41,31,32.80243893,68.49712253,,102,3d_truss,41,31,32.80243893,-11.26109277
103,3d_truss,31,43,32.80243893,-98.38782208,,,103,3d_truss,31,43,32.80243893,-122.5089307,,103,3d_truss,31,43,32.80243893,24.12110862
104,3d_truss,43,33,32.80243893,153.3812736,,,104,3d_truss,43,33,32.80243893,201.1545659,,104,3d_truss,43,33,32.80243893,-47.77329234
105,3d_truss,1,24,30.26962174,-127.4770967,,,105,3d_truss,1,24,30.26962174,-136.3054614,,105,3d_truss,1,24,30.26962174,8.828364724
106,3d_truss,23,2,30.26962174,110.9773835,,,106,3d_truss,23,2,30.26962174,94.92433322,,106,3d_truss,23,2,30.26962174,16.05305028
107,3d_truss,2,25,30.26962174,-94.1872287,,,107,3d_truss,2,25,30.26962174,-111.9802181,,107,3d_truss,2,25,30.26962174,17.79298935
108,3d_truss,24,3,30.26962174,78.57964587,,,108,3d_truss,24,3,30.26962174,71.64368251,,108,3d_truss,24,3,30.26962174,6.93596336
109,3d_truss,3,26,30.26962174,-80.07462622,,,109,3d_truss,3,26,30.26962174,-89.94559457,,109,3d_truss,3,26,30.26962174,9.870968345
110,3d_truss,25,4,30.26962174,42.02029489,,,110,3d_truss,25,4,30.26962174,52.24058879,,110,3d_truss,25,4,30.26962174,-10.2202939
111,3d_truss,4,27,30.26962174,-61.198985,,,111,3d_truss,4,27,30.26962174,-67.81408916,,111,3d_truss,4,27,30.26962174,6.61510416
112,3d_truss,26,5,30.26962174,23.63756092,,,112,3d_truss,26,5,30.26962174,28.00244879,,112,3d_truss,26,5,30.26962174,-4.364887866
113,3d_truss,5,28,30.26962174,-50.68566015,,,113,3d_truss,5,28,30.26962174,0.4905023,,113,3d_truss,5,28,30.26962174,-51.17616245
114,3d_truss,27,6,30.26962174,5.649007887,,,114,3d_truss,27,6,30.26962174,73.32387405,,114,3d_truss,27,6,30.26962174,-67.67486616
115,3d_truss,6,29,30.26962174,-38.89861556,,,115,3d_truss,6,29,30.26962174,-51.01733588,,115,3d_truss,6,29,30.26962174,12.11872032
116,3d_truss,28,7,30.26962174,-6.138036704,,,116,3d_truss,28,7,30.26962174,3.77109914,,116,3d_truss,28,7,30.26962174,-9.909135844
117,3d_truss,7,30,30.26962174,-22.81948278,,,117,3d_truss,7,30,30.26962174,-36.48873759,,117,3d_truss,7,30,30.26962174,13.66925481
118,3d_truss,29,8,30.26962174,-14.7419413,,,118,3d_truss,29,8,30.26962174,-1.08339118,,118,3d_truss,29,8,30.26962174,-13.65855012
119,3d_truss,8,31,30.26962174,-8.440903903,,,119,3d_truss,8,31,30.26962174,-20.84256282,,119,3d_truss,8,31,30.26962174,12.40165891
120,3d_truss,30,9,30.26962174,-29.61342744,,,120,3d_truss,30,9,30.26962174,-17.2547219,,120,3d_truss,30,9,30.26962174,-12.35870554
121,3d_truss,9,32,30.26962174,24.09431027,,,121,3d_truss,9,32,30.26962174,17.97770656,,121,3d_truss,9,32,30.26962174,6.116603714
122,3d_truss,31,10,30.26962174,-39.7018931,,,122,3d_truss,31,10,30.26962174,-33.59723585,,122,3d_truss,31,10,30.26962174,-6.104657246
123,3d_truss,10,33,30.26962174,48.72404601,,,123,3d_truss,10,33,30.26962174,51.22311399,,123,3d_truss,10,33,30.26962174,-2.499067979
124,3d_truss,32,11,30.26962174,-65.22375923,,,124,3d_truss,32,11,30.26962174,-67.73488394,,124,3d_truss,32,11,30.26962174,2.511124706
127,3d_truss,13,36,30.26962174,-0.221577781,,,127,3d_truss,13,36,30.26962174,32.32422664,,127,3d_truss,13,36,30.26962174,-32.54580442
128,3d_truss,35,14,30.26962174,34.18603498,,,128,3d_truss,35,14,30.26962174,46.72319624,,128,3d_truss,35,14,30.26962174,-12.53716126
129,3d_truss,14,37,30.26962174,-4.522821093,,,129,3d_truss,14,37,30.26962174,34.68097607,,129,3d_truss,14,37,30.26962174,-39.20379717
130,3d_truss,36,15,30.26962174,37.53299523,,,130,3d_truss,36,15,30.26962174,46.5162292,,130,3d_truss,36,15,30.26962174,-8.983233965
131,3d_truss,15,38,30.26962174,6.389275023,,,131,3d_truss,15,38,30.26962174,15.6864074,,131,3d_truss,15,38,30.26962174,-9.297132381
132,3d_truss,37,16,30.26962174,44.07184274,,,132,3d_truss,37,16,30.26962174,32.41853101,,132,3d_truss,37,16,30.26962174,11.65331173
133,3d_truss,16,39,30.26962174,12.92995977,,,133,3d_truss,16,39,30.26962174,63.86243255,,133,3d_truss,16,39,30.26962174,-50.93247278
134,3d_truss,38,17,30.26962174,37.20790027,,,134,3d_truss,38,17,30.26962174,62.19522394,,134,3d_truss,38,17,30.26962174,-24.98732367
135,3d_truss,17,40,30.26962174,22.06374752,,,135,3d_truss,17,40,30.26962174,33.54142334,,135,3d_truss,17,40,30.26962174,-11.47767582
136,3d_truss,39,18,30.26962174,28.07411252,,,136,3d_truss,39,18,30.26962174,7.415483784,,136,3d_truss,39,18,30.26962174,20.65862874
137,3d_truss,18,41,30.26962174,30.8450034,,,137,3d_truss,18,41,30.26962174,49.58858051,,137,3d_truss,18,41,30.26962174,-18.74357711
138,3d_truss,40,19,30.26962174,19.61611437,,,138,3d_truss,40,19,30.26962174,1.123288483,,138,3d_truss,40,19,30.26962174,18.49282589
139,3d_truss,19,42,30.26962174,28.25710163,,,139,3d_truss,19,42,30.26962174,45.5495385,,139,3d_truss,19,42,30.26962174,-17.29243687
140,3d_truss,41,20,30.26962174,4.7530725,,,140,3d_truss,41,20,30.26962174,-12.5101965,,140,3d_truss,41,20,30.26962174,17.263269
141,3d_truss,20,43,30.26962174,29.38093627,,,141,3d_truss,20,43,30.26962174,40.84884952,,141,3d_truss,20,43,30.26962174,-11.46791325
142,3d_truss,42,21,30.26962174,4.58352093,,,142,3d_truss,42,21,30.26962174,-6.851151275,,142,3d_truss,42,21,30.26962174,11.4346722
